"genes","logFC","logCPM","LR","PValue","FDR"
"H2scaf81-aug17876",-1.4952947580204,4.18458095169756,17.7496766691362,2.51960312052367e-05,0.00435303947712068
"H2scaf1-aug9927",-1.13083832406665,4.7638078807348,17.7227756039423,2.55548540110525e-05,0.00438811124271494
"H2scaf12-aug1312",2.5714665649197,-1.52043060575136,17.6723329800359,2.62415886351983e-05,0.00447872350033831
"H2scaf111-aug24181",4.95530939540783,-2.67316343577258,17.6258180214647,2.68912763655482e-05,0.00456195923933857
"H2scaf124-aug21113",2.34512249672054,-1.29694862659736,17.6081476977419,2.71422980101237e-05,0.00457697158241373
"H2scaf12-aug1152",1.56369736643823,2.38490732058052,17.5362347379441,2.81884088780245e-05,0.00472508203817885
"H2scaf124-aug21127",-2.44354000138325,-1.3433374988738,17.5037307488689,2.86744458983545e-05,0.00477811284581988
"H2scaf46-aug11286",1.09138991862622,4.95909438726332,17.4572380927847,2.93843337150299e-05,0.00486760130440562
"H2scaf30-aug10856",-0.993042071917963,5.8044951956596,17.4317648017365,2.9780742969108e-05,0.00490441814475468
"H2scaf3227-aug26290",-2.68588043389789,-1.88114302276959,17.174518299212,3.40979665699445e-05,0.00558274904986166
"H2scaf68-aug15316",1.69660512697512,1.26755866557752,17.1368753968336,3.47804372078319e-05,0.00566157163127026
"H2scaf1-aug9673",1.41916728175158,0.436871764007257,17.0941239651558,3.55721938646087e-05,0.00575717558288071
"H2scaf1056-aug24899",1.47947218289348,0.184932444326224,16.8927521479769,3.95523202645687e-05,0.00635798472805054
"H2scaf23-aug6165",2.17906431055873,0.204793711066071,16.8839581017791,3.97359934710023e-05,0.00635798472805054
"H2scaf68-aug15345",1.84739944563908,2.00852807998024,16.8206116238124,4.10846348515038e-05,0.00652773826917794
"H2scaf1247-aug25059",-4.80419850546727,-2.78588004547712,16.8125048417355,4.12605167399479e-05,0.00652773826917794
"H2scaf30-aug10740",-0.929817533528843,4.30953431733249,16.7984342395412,4.15675865308005e-05,0.00653957991225628
"H2scaf73-aug16817",-0.890204563502132,5.65504520537338,16.6928743074902,4.39457540973596e-05,0.00687531322853191
"H2scaf30-aug10785",-2.18879191061036,5.37942412930366,16.6802139813573,4.42400170281725e-05,0.00688311115762634
"H2scaf108-aug20345",-3.77939077132178,-2.47136701222657,16.5947391937679,4.62792160401729e-05,0.00714151278142451
"H2scaf16-aug1614",-2.29957191156792,-1.43338871376078,16.5894672649833,4.64080408721525e-05,0.00714151278142451
"H2scaf30-aug10845",-0.898144761830954,6.08108319130592,16.5309527957641,4.7862340950043e-05,0.00732527925812044
"H2scaf102-aug19890",-2.33937006379232,-1.6350467431185,16.4891687898741,4.89287911905858e-05,0.00744801993901669
"H2scaf22-aug5890",-2.70713217298145,-0.210623665445069,16.3714267801221,5.20642132213394e-05,0.0078826898307857
"H2scaf17-aug2329",-2.16331550630088,2.40787431538498,16.3218589858465,5.34438970400911e-05,0.00804830793874869
"H2scaf59-aug14201",1.31299475015881,0.888229310023102,16.273019024946,5.48392819233216e-05,0.00821451605448223
"H2scaf15-aug463",1.87095035477944,-0.741292210065682,16.2020776106055,5.69316432949287e-05,0.00848281485094438
"H2scaf1-aug10009",-1.17236954052543,1.21369276962889,16.1494602434903,5.85352480512913e-05,0.00865384738534141
"H2scaf38-aug12986",-2.4898850056442,-1.56060834096161,16.1443267928998,5.86941106707933e-05,0.00865384738534141
"H2scaf21-aug9251",1.74628365050752,1.83902989412367,16.0683397665009,6.10970068538674e-05,0.00896121255214459
"H2scaf75-aug17459",1.45717778427315,0.00798022027748456,15.9797471260591,6.40237538664383e-05,0.00934182866649104
"H2scaf22-aug6085",1.67774254132484,2.54964359859055,15.9590913313886,6.47261696828379e-05,0.00939563744555875
"H2scaf8446-aug27774",-1.42323882038464,-0.0211016131012894,15.8624678265488,6.81162757012687e-05,0.00983703815396629
"H2scaf1880-aug25443",1.44470337343636,0.161057808129643,15.8343436765952,6.91361888013836e-05,0.00993338884099879
